ConversionID,ItemID,FromUOM,PackageIdentity,SupplierRef,ToUOM,Numerator,Denominator,EffectiveFrom,EffectiveTo,EvidenceType,EvidenceRef,EvidenceDate,PreparedBy,PreparedAt,ReviewedBy,ReviewedAt,ApprovalStatus,ApprovalNote,IsActive,CreatedAt,CreatedBy,UpdatedAt,UpdatedBy
CONV-ATT-ING-004-V01,ING-004,bag,ING-004|INTERNAL-SHOPEE-CHANNEL|Bean Ar 100%|NO-SKU|plastic bag 1 kg|V01,INTERNAL-SHOPEE-CHANNEL,gr,1000,1,2026-10-01,,OPERATOR_ATTESTATION,GDRIVE:1Ap8E3MszGhPq7_FZOPIYRmGKjSWskW5G:V01:SHA256:bb32a968439a6c9a9c2e5415c286fb60484b8cfd13888a7d3329be9dede23658,2026-09-04,Dekker,2026-09-04T16:00:00+07:00,,,SINGLE_OPERATOR_APPROVED,BASIS=OPERATOR_KNOWN; METHOD=FIXED_PACKAGE_QUANTITY_OPERATOR_ATTESTATION_SINGLE_OPERATOR_ATTESTATION_SIGNED_FIRST_PERSON_STATEMENT_DETERMINISTIC_ARITHMETIC_RISK_LOW; PLAUSIBILITY=CONFIRMED; LIMITATIONS=NO_INDEPENDENT_REVIEW; REVIEW=SELF_APPROVAL_DISCLOSED_CONTROLS_CONFIRMED,false,,,,
CONV-ATT-ING-005-V01,ING-005,bag,ING-005|INTERNAL-SHOPEE-CHANNEL|Bean Ar Lintong|NO-SKU|plastic bag 500 gr|V01,INTERNAL-SHOPEE-CHANNEL,gr,500,1,2026-10-01,,OPERATOR_ATTESTATION,GDRIVE:1COJ6VHBTtwXyxHMaUEiltTfpjFIwsmiS:V01:SHA256:5be3e74aea2183747b5c2dbdf7115fbe6b7677feb2cd61523882c4d5338a97d6,2026-09-04,Dekker,2026-09-04T16:00:00+07:00,,,SINGLE_OPERATOR_APPROVED,BASIS=OPERATOR_KNOWN; METHOD=FIXED_PACKAGE_QUANTITY_OPERATOR_ATTESTATION_SINGLE_OPERATOR_ATTESTATION_SIGNED_FIRST_PERSON_STATEMENT_DETERMINISTIC_ARITHMETIC_RISK_LOW; PLAUSIBILITY=CONFIRMED; LIMITATIONS=NO_INDEPENDENT_REVIEW; REVIEW=SELF_APPROVAL_DISCLOSED_CONTROLS_CONFIRMED,false,,,,
CONV-ATT-ING-006-V01,ING-006,bag,ING-006|INTERNAL-SHOPEE-CHANNEL|Bean Robusta|NO-SKU|plastic bag 1000 gr|V01,INTERNAL-SHOPEE-CHANNEL,gr,1000,1,2026-10-01,,OPERATOR_ATTESTATION,GDRIVE:1DABFPD6JvvgKlX2q8h79no5NHShLUMX8:V01:SHA256:195dadbb8c8af5954d49f303c8140ff3fd2d85c30e7919135922976a068c9bdd,2026-09-04,Dekker,2026-09-04T16:00:00+07:00,,,SINGLE_OPERATOR_APPROVED,BASIS=OPERATOR_KNOWN; METHOD=FIXED_PACKAGE_QUANTITY_OPERATOR_ATTESTATION_SINGLE_OPERATOR_ATTESTATION_SIGNED_FIRST_PERSON_STATEMENT_DETERMINISTIC_ARITHMETIC_RISK_LOW; PLAUSIBILITY=CONFIRMED; LIMITATIONS=NO_INDEPENDENT_REVIEW; REVIEW=SELF_APPROVAL_DISCLOSED_CONTROLS_CONFIRMED,false,,,,
CONV-ATT-ING-007-V01,ING-007,bag,ING-007|INTERNAL-KELONTONG|Kopi Badau|NO-SKU|plastic bag 420 gr|V01,INTERNAL-KELONTONG,gr,420,1,2026-10-01,,OPERATOR_ATTESTATION,GDRIVE:1cijJJR9yhc0bjbepusXXP8_y3pvzO92z:V01:SHA256:944788e2b3da4f27fcce51c7d856ae6d45bf18ac5b6bd805cb1c06cfa6c288f6,2026-09-04,Dekker,2026-09-04T16:00:00+07:00,,,SINGLE_OPERATOR_APPROVED,BASIS=OPERATOR_KNOWN; METHOD=FIXED_PACKAGE_QUANTITY_OPERATOR_ATTESTATION_SINGLE_OPERATOR_ATTESTATION_SIGNED_FIRST_PERSON_STATEMENT_DETERMINISTIC_ARITHMETIC_RISK_LOW; PLAUSIBILITY=CONFIRMED; LIMITATIONS=NO_INDEPENDENT_REVIEW; REVIEW=SELF_APPROVAL_DISCLOSED_CONTROLS_CONFIRMED,false,,,,
CONV-ATT-ING-008-V01,ING-008,bag,ING-008|INTERNAL-KELONTONG|Kopi Kingkong|NO-SKU|plastic bag 400 gr|V01,INTERNAL-KELONTONG,gr,400,1,2026-10-01,,OPERATOR_ATTESTATION,GDRIVE:1OdUGRnM1ej7BxperQ6ll-SC9MlDhHbK8:V01:SHA256:d1a4ff37fb6612c91d81c8de75e766de32d53a9b0311c27a1eeaa488a27d4a72,2026-09-04,Dekker,2026-09-04T16:00:00+07:00,,,SINGLE_OPERATOR_APPROVED,BASIS=OPERATOR_KNOWN; METHOD=FIXED_PACKAGE_QUANTITY_OPERATOR_ATTESTATION_SINGLE_OPERATOR_ATTESTATION_SIGNED_FIRST_PERSON_STATEMENT_DETERMINISTIC_ARITHMETIC_RISK_LOW; PLAUSIBILITY=CONFIRMED; LIMITATIONS=NO_INDEPENDENT_REVIEW; REVIEW=SELF_APPROVAL_DISCLOSED_CONTROLS_CONFIRMED,false,,,,
CONV-ATT-ING-009-V01,ING-009,carton,ING-009|INTERNAL-KELONTONG|UHT|NO-SKU|carton 12 x 1 L boxes|V01,INTERNAL-KELONTONG,ml,12000,1,2026-10-01,,OPERATOR_ATTESTATION,GDRIVE:1Z68YNwu24vgB-LpPOw0OE2gUeXrG10Lu:V01:SHA256:3150299ba9dd222b18627c98f2bb0cfebcb5853b324963962a9b79629c230952,2026-09-04,Dekker,2026-09-04T16:00:00+07:00,,,SINGLE_OPERATOR_APPROVED,BASIS=OPERATOR_KNOWN; METHOD=FIXED_CONTENT_COUNT_AND_QUANTITY_OPERATOR_ATTESTATION_SINGLE_OPERATOR_ATTESTATION_SIGNED_FIRST_PERSON_STATEMENT_DETERMINISTIC_ARITHMETIC_RISK_LOW; PLAUSIBILITY=CONFIRMED; LIMITATIONS=NO_INDEPENDENT_REVIEW; REVIEW=SELF_APPROVAL_DISCLOSED_CONTROLS_CONFIRMED,false,,,,
CONV-ATT-ING-010-V01,ING-010,carton,ING-010|INTERNAL-KELONTONG|SKM|NO-SKU|carton 24 x 490 gr cans|V01,INTERNAL-KELONTONG,gr,11760,1,2026-10-01,,OPERATOR_ATTESTATION,GDRIVE:1I72DYM0cM-A1KaPwfm08os22hzxcS04o:V01:SHA256:e0cb1b8e154aa1356f5cb2d48b2b00025461782425bd2908981e88799a7ae5cf,2026-09-04,Dekker,2026-09-04T16:00:00+07:00,,,SINGLE_OPERATOR_APPROVED,BASIS=OPERATOR_KNOWN; METHOD=FIXED_CONTENT_COUNT_AND_QUANTITY_OPERATOR_ATTESTATION_SINGLE_OPERATOR_ATTESTATION_SIGNED_FIRST_PERSON_STATEMENT_DETERMINISTIC_ARITHMETIC_RISK_LOW; PLAUSIBILITY=CONFIRMED; LIMITATIONS=NO_INDEPENDENT_REVIEW; REVIEW=SELF_APPROVAL_DISCLOSED_CONTROLS_CONFIRMED,false,,,,
CONV-ATT-ING-011-V01,ING-011,gallon,ING-011|INTERNAL-DEPOT|Air|NO-SKU|19 L gallon|V01,INTERNAL-DEPOT,ml,19000,1,2026-10-01,,OPERATOR_ATTESTATION,GDRIVE:1ceR6hcnDa8RSX9WpSqnJy3Q2HEfWZdqH:V01:SHA256:48c564d886fea2153a699c9d3cfe60b068d248ebf8a2630c2479cbd706c9189e,2026-09-04,Dekker,2026-09-04T16:00:00+07:00,,,SINGLE_OPERATOR_APPROVED,BASIS=OPERATOR_KNOWN; METHOD=FIXED_PACKAGE_QUANTITY_OPERATOR_ATTESTATION_SINGLE_OPERATOR_ATTESTATION_SIGNED_FIRST_PERSON_STATEMENT_DETERMINISTIC_ARITHMETIC_RISK_MODERATE; PLAUSIBILITY=CONFIRMED; LIMITATIONS=NO_INDEPENDENT_REVIEW; REVIEW=SELF_APPROVAL_DISCLOSED_CONTROLS_CONFIRMED,false,,,,
CONV-ATT-ING-012-V01,ING-012,pack,ING-012|INTERNAL-KELONTONG|Teh Bendera|NO-SKU|pack 10 x 50 gr boxes|V01,INTERNAL-KELONTONG,gr,500,1,2026-10-01,,OPERATOR_ATTESTATION,GDRIVE:10syOIKRzmbDv8cdK3viTvRZyZJE0MD1W:V01:SHA256:e2d42b429c30d439b6d2775fa77b81a816ddb54d6973d14968828eb452fd834a,2026-09-04,Dekker,2026-09-04T16:00:00+07:00,,,SINGLE_OPERATOR_APPROVED,BASIS=OPERATOR_KNOWN; METHOD=FIXED_CONTENT_COUNT_AND_QUANTITY_OPERATOR_ATTESTATION_SINGLE_OPERATOR_ATTESTATION_SIGNED_FIRST_PERSON_STATEMENT_DETERMINISTIC_ARITHMETIC_RISK_LOW; PLAUSIBILITY=CONFIRMED; LIMITATIONS=NO_INDEPENDENT_REVIEW; REVIEW=SELF_APPROVAL_DISCLOSED_CONTROLS_CONFIRMED,false,,,,
CONV-ATT-ING-013-V01,ING-013,pack,ING-013|INTERNAL-KELONTONG|Teh Poci|NO-SKU|pack 10 x 50 gr boxes|V01,INTERNAL-KELONTONG,gr,500,1,2026-10-01,,OPERATOR_ATTESTATION,GDRIVE:1ED9G_v5t2wFGt8jgMqaScOqeHkrf13rg:V01:SHA256:47ad1f801739d5b72b61f3efc533b7a107e30f0e29160e0dfbe78da9016858a0,2026-09-04,Dekker,2026-09-04T16:00:00+07:00,,,SINGLE_OPERATOR_APPROVED,BASIS=OPERATOR_KNOWN; METHOD=FIXED_CONTENT_COUNT_AND_QUANTITY_OPERATOR_ATTESTATION_SINGLE_OPERATOR_ATTESTATION_SIGNED_FIRST_PERSON_STATEMENT_DETERMINISTIC_ARITHMETIC_RISK_LOW; PLAUSIBILITY=CONFIRMED; LIMITATIONS=NO_INDEPENDENT_REVIEW; REVIEW=SELF_APPROVAL_DISCLOSED_CONTROLS_CONFIRMED,false,,,,
CONV-ATT-ING-014-V01,ING-014,pack,ING-014|INTERNAL-KELONTONG|Teh Zeppelin|NO-SKU|400 gr pack|V01,INTERNAL-KELONTONG,gr,400,1,2026-10-01,,OPERATOR_ATTESTATION,GDRIVE:1PUtKVLy37q7QmE-6fr0RDEeRHOTmUlFa:V01:SHA256:141ca2d8f499d1a1f4ebbff4522ebcc9dfe62555f06b556d04edbe33047028ae,2026-09-04,Dekker,2026-09-04T16:00:00+07:00,,,SINGLE_OPERATOR_APPROVED,BASIS=OPERATOR_KNOWN; METHOD=FIXED_PACKAGE_QUANTITY_OPERATOR_ATTESTATION_SINGLE_OPERATOR_ATTESTATION_SIGNED_FIRST_PERSON_STATEMENT_DETERMINISTIC_ARITHMETIC_RISK_LOW; PLAUSIBILITY=CONFIRMED; LIMITATIONS=NO_INDEPENDENT_REVIEW; REVIEW=SELF_APPROVAL_DISCLOSED_CONTROLS_CONFIRMED,false,,,,
