ManifestID,ManifestVersion,ConversionID,ItemID,RiskTier,SHA256,ManifestFile,ImmutableStorage,EvidenceRef,RequiredEvidenceRef
MANIFEST-ATT-ING-004-V01,V01,CONV-ATT-ING-004-V01,ING-004,LOW,bb32a968439a6c9a9c2e5415c286fb60484b8cfd13888a7d3329be9dede23658,manifests/MANIFEST-ATT-ING-004-V01.manifest,VERIFIED,GDRIVE:1Ap8E3MszGhPq7_FZOPIYRmGKjSWskW5G:V01:SHA256:bb32a968439a6c9a9c2e5415c286fb60484b8cfd13888a7d3329be9dede23658,GDRIVE:1Ap8E3MszGhPq7_FZOPIYRmGKjSWskW5G:V01:SHA256:bb32a968439a6c9a9c2e5415c286fb60484b8cfd13888a7d3329be9dede23658
MANIFEST-ATT-ING-005-V01,V01,CONV-ATT-ING-005-V01,ING-005,LOW,5be3e74aea2183747b5c2dbdf7115fbe6b7677feb2cd61523882c4d5338a97d6,manifests/MANIFEST-ATT-ING-005-V01.manifest,VERIFIED,GDRIVE:1COJ6VHBTtwXyxHMaUEiltTfpjFIwsmiS:V01:SHA256:5be3e74aea2183747b5c2dbdf7115fbe6b7677feb2cd61523882c4d5338a97d6,GDRIVE:1COJ6VHBTtwXyxHMaUEiltTfpjFIwsmiS:V01:SHA256:5be3e74aea2183747b5c2dbdf7115fbe6b7677feb2cd61523882c4d5338a97d6
MANIFEST-ATT-ING-006-V01,V01,CONV-ATT-ING-006-V01,ING-006,LOW,195dadbb8c8af5954d49f303c8140ff3fd2d85c30e7919135922976a068c9bdd,manifests/MANIFEST-ATT-ING-006-V01.manifest,VERIFIED,GDRIVE:1DABFPD6JvvgKlX2q8h79no5NHShLUMX8:V01:SHA256:195dadbb8c8af5954d49f303c8140ff3fd2d85c30e7919135922976a068c9bdd,GDRIVE:1DABFPD6JvvgKlX2q8h79no5NHShLUMX8:V01:SHA256:195dadbb8c8af5954d49f303c8140ff3fd2d85c30e7919135922976a068c9bdd
MANIFEST-ATT-ING-007-V01,V01,CONV-ATT-ING-007-V01,ING-007,LOW,944788e2b3da4f27fcce51c7d856ae6d45bf18ac5b6bd805cb1c06cfa6c288f6,manifests/MANIFEST-ATT-ING-007-V01.manifest,VERIFIED,GDRIVE:1cijJJR9yhc0bjbepusXXP8_y3pvzO92z:V01:SHA256:944788e2b3da4f27fcce51c7d856ae6d45bf18ac5b6bd805cb1c06cfa6c288f6,GDRIVE:1cijJJR9yhc0bjbepusXXP8_y3pvzO92z:V01:SHA256:944788e2b3da4f27fcce51c7d856ae6d45bf18ac5b6bd805cb1c06cfa6c288f6
MANIFEST-ATT-ING-008-V01,V01,CONV-ATT-ING-008-V01,ING-008,LOW,d1a4ff37fb6612c91d81c8de75e766de32d53a9b0311c27a1eeaa488a27d4a72,manifests/MANIFEST-ATT-ING-008-V01.manifest,VERIFIED,GDRIVE:1OdUGRnM1ej7BxperQ6ll-SC9MlDhHbK8:V01:SHA256:d1a4ff37fb6612c91d81c8de75e766de32d53a9b0311c27a1eeaa488a27d4a72,GDRIVE:1OdUGRnM1ej7BxperQ6ll-SC9MlDhHbK8:V01:SHA256:d1a4ff37fb6612c91d81c8de75e766de32d53a9b0311c27a1eeaa488a27d4a72
MANIFEST-ATT-ING-009-V01,V01,CONV-ATT-ING-009-V01,ING-009,LOW,3150299ba9dd222b18627c98f2bb0cfebcb5853b324963962a9b79629c230952,manifests/MANIFEST-ATT-ING-009-V01.manifest,VERIFIED,GDRIVE:1Z68YNwu24vgB-LpPOw0OE2gUeXrG10Lu:V01:SHA256:3150299ba9dd222b18627c98f2bb0cfebcb5853b324963962a9b79629c230952,GDRIVE:1Z68YNwu24vgB-LpPOw0OE2gUeXrG10Lu:V01:SHA256:3150299ba9dd222b18627c98f2bb0cfebcb5853b324963962a9b79629c230952
MANIFEST-ATT-ING-010-V01,V01,CONV-ATT-ING-010-V01,ING-010,LOW,e0cb1b8e154aa1356f5cb2d48b2b00025461782425bd2908981e88799a7ae5cf,manifests/MANIFEST-ATT-ING-010-V01.manifest,VERIFIED,GDRIVE:1I72DYM0cM-A1KaPwfm08os22hzxcS04o:V01:SHA256:e0cb1b8e154aa1356f5cb2d48b2b00025461782425bd2908981e88799a7ae5cf,GDRIVE:1I72DYM0cM-A1KaPwfm08os22hzxcS04o:V01:SHA256:e0cb1b8e154aa1356f5cb2d48b2b00025461782425bd2908981e88799a7ae5cf
MANIFEST-ATT-ING-011-V01,V01,CONV-ATT-ING-011-V01,ING-011,MODERATE,48c564d886fea2153a699c9d3cfe60b068d248ebf8a2630c2479cbd706c9189e,manifests/MANIFEST-ATT-ING-011-V01.manifest,VERIFIED,GDRIVE:1ceR6hcnDa8RSX9WpSqnJy3Q2HEfWZdqH:V01:SHA256:48c564d886fea2153a699c9d3cfe60b068d248ebf8a2630c2479cbd706c9189e,GDRIVE:1ceR6hcnDa8RSX9WpSqnJy3Q2HEfWZdqH:V01:SHA256:48c564d886fea2153a699c9d3cfe60b068d248ebf8a2630c2479cbd706c9189e
MANIFEST-ATT-ING-012-V01,V01,CONV-ATT-ING-012-V01,ING-012,LOW,e2d42b429c30d439b6d2775fa77b81a816ddb54d6973d14968828eb452fd834a,manifests/MANIFEST-ATT-ING-012-V01.manifest,VERIFIED,GDRIVE:10syOIKRzmbDv8cdK3viTvRZyZJE0MD1W:V01:SHA256:e2d42b429c30d439b6d2775fa77b81a816ddb54d6973d14968828eb452fd834a,GDRIVE:10syOIKRzmbDv8cdK3viTvRZyZJE0MD1W:V01:SHA256:e2d42b429c30d439b6d2775fa77b81a816ddb54d6973d14968828eb452fd834a
MANIFEST-ATT-ING-013-V01,V01,CONV-ATT-ING-013-V01,ING-013,LOW,47ad1f801739d5b72b61f3efc533b7a107e30f0e29160e0dfbe78da9016858a0,manifests/MANIFEST-ATT-ING-013-V01.manifest,VERIFIED,GDRIVE:1ED9G_v5t2wFGt8jgMqaScOqeHkrf13rg:V01:SHA256:47ad1f801739d5b72b61f3efc533b7a107e30f0e29160e0dfbe78da9016858a0,GDRIVE:1ED9G_v5t2wFGt8jgMqaScOqeHkrf13rg:V01:SHA256:47ad1f801739d5b72b61f3efc533b7a107e30f0e29160e0dfbe78da9016858a0
MANIFEST-ATT-ING-014-V01,V01,CONV-ATT-ING-014-V01,ING-014,LOW,141ca2d8f499d1a1f4ebbff4522ebcc9dfe62555f06b556d04edbe33047028ae,manifests/MANIFEST-ATT-ING-014-V01.manifest,VERIFIED,GDRIVE:1PUtKVLy37q7QmE-6fr0RDEeRHOTmUlFa:V01:SHA256:141ca2d8f499d1a1f4ebbff4522ebcc9dfe62555f06b556d04edbe33047028ae,GDRIVE:1PUtKVLy37q7QmE-6fr0RDEeRHOTmUlFa:V01:SHA256:141ca2d8f499d1a1f4ebbff4522ebcc9dfe62555f06b556d04edbe33047028ae
MANIFEST-ATT-ING-015-V01,V01,CONV-ATT-ING-015-V01,ING-015,LOW,a1385bb71d8d1e6e959d4993e1154c6161ad2bb68800e927b6a3f1ca1bd840e7,manifests/MANIFEST-ATT-ING-015-V01.manifest,VERIFIED,GDRIVE:1gby72WzDA0TttZEe3dy7ud9jY_-tvvd5:V01:SHA256:a1385bb71d8d1e6e959d4993e1154c6161ad2bb68800e927b6a3f1ca1bd840e7,GDRIVE:1gby72WzDA0TttZEe3dy7ud9jY_-tvvd5:V01:SHA256:a1385bb71d8d1e6e959d4993e1154c6161ad2bb68800e927b6a3f1ca1bd840e7
MANIFEST-ATT-ING-016-V01,V01,CONV-ATT-ING-016-V01,ING-016,LOW,c1a4e1160478ff4d207fe9dc8ff5b108d38dc378176e91d5bb99cfd2e182fb99,manifests/MANIFEST-ATT-ING-016-V01.manifest,VERIFIED,GDRIVE:1p04n7CX_j-vGUfTFfGnU7vBPqgDqAHTZ:V01:SHA256:c1a4e1160478ff4d207fe9dc8ff5b108d38dc378176e91d5bb99cfd2e182fb99,GDRIVE:1p04n7CX_j-vGUfTFfGnU7vBPqgDqAHTZ:V01:SHA256:c1a4e1160478ff4d207fe9dc8ff5b108d38dc378176e91d5bb99cfd2e182fb99
MANIFEST-ATT-ING-017-V01,V01,CONV-ATT-ING-017-V01,ING-017,LOW,244e43c08744ee32d59fc06dc6689d33ebf63f35e964533c207918e6d7c662bc,manifests/MANIFEST-ATT-ING-017-V01.manifest,VERIFIED,GDRIVE:1p0cNXzgrLyEQTg8_pFHjhiJyg7nGmqXV:V01:SHA256:244e43c08744ee32d59fc06dc6689d33ebf63f35e964533c207918e6d7c662bc,GDRIVE:1p0cNXzgrLyEQTg8_pFHjhiJyg7nGmqXV:V01:SHA256:244e43c08744ee32d59fc06dc6689d33ebf63f35e964533c207918e6d7c662bc
